CustomerID,CustomerName,Gender,AgeGroup,Country,City,MembershipTier,SignupDate
1,Fan_00001,Male,Under 18,Ireland,International City,Junior Member,2021-07-17
2,Fan_00002,Non-binary,Under 18,UK,London,Junior Member,2024-02-25
3,Fan_00003,Male,45-54,Egypt,International City,Red Member,2020-03-06
4,Fan_00004,Male,45-54,UK,London,Full Member,2020-02-24
5,Fan_00005,Male,55+,Egypt,International City,Full Member,2023-12-07
6,Fan_00006,Female,18-24,Egypt,International City,Red Member,2023-04-21
7,Fan_00007,Male,18-24,UK,Liverpool,Junior Member,2022-05-15
8,Fan_00008,Male,25-34,UK,London,Non-Member,2020-07-08
9,Fan_00009,Female,45-54,UK,London,Non-Member,2024-07-10
10,Fan_00010,Non-binary,Under 18,UK,Liverpool,Red Member,2020-06-10
11,Fan_00011,Female,55+,Egypt,International City,Full Member,2024-10-30
12,Fan_00012,Non-binary,Under 18,UK,Liverpool,Non-Member,2023-09-16
13,Fan_00013,Male,18-24,UK,Liverpool,Non-Member,2022-02-17
14,Fan_00014,Female,18-24,UK,Liverpool,Red Member,2021-12-28
15,Fan_00015,Non-binary,55+,UK,Liverpool,Full Member,2020-05-26
16,Fan_00016,Non-binary,18-24,Thailand,International City,Red Member,2024-02-02
17,Fan_00017,Female,25-34,UK,London,Full Member,2023-11-10
18,Fan_00018,Male,55+,Egypt,International City,Red Member,2024-09-22
19,Fan_00019,Male,18-24,China,International City,Non-Member,2024-07-06
20,Fan_00020,Male,18-24,UK,Liverpool,Full Member,2024-11-29
21,Fan_00021,Female,18-24,China,International City,Full Member,2022-10-19
22,Fan_00022,Non-binary,35-44,USA,International City,Non-Member,2021-06-26
23,Fan_00023,Non-binary,45-54,UK,London,Non-Member,2024-03-09
24,Fan_00024,Female,45-54,Thailand,International City,Red Member,2022-01-11
25,Fan_00025,Male,45-54,UK,Liverpool,Red Member,2020-07-05
26,Fan_00026,Male,Under 18,China,International City,Non-Member,2023-07-09
27,Fan_00027,Female,45-54,UK,Liverpool,Non-Member,2022-02-27
