ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice
101,LFC Home Jersey 25/26 (Elite),Kits,Men,Nike,125,40
102,LFC Home Jersey 25/26 (Stadium),Kits,Men,Nike,80,25
103,LFC Away Jersey 25/26 (Stadium),Kits,Men,Nike,80,25
104,LFC Training Drill Top,Training,Unisex,Nike,65,20
105,LFC Retro 1984 Jersey,Retro,Men,LFC Official,60,18
106,LFC Scarf Red/White,Souvenirs,Accessories,LFC Official,18,4
107,LFC Luxury Fleece Hoodie,Lifestyle,Unisex,LFC Official,75,22
108,LFC Junior Home Kit Full Set,Kits,Kids,Nike,65,18
109,LFC 125 Years Anniversary Book,Souvenirs,Books,LFC Official,40,12
110,LFC Signature Football,Souvenirs,Equipment,LFC Official,25,7
