TransactionID,Date,CustomerID,ProductID,StoreID,PromoID,ChannelID,Quantity,UnitPrice,DiscountAmount,TotalAmount,PaymentMethod
1,2025-06-02,8468,110,3,2,2,1,25,3.75,21.25,PayPal
2,2025-02-15,2985,110,1,2,4,4,25,15.0,85.0,LFC Points
3,2025-11-04,1575,106,1,2,1,2,18,5.4,30.6,PayPal
4,2025-01-05,814,103,1,2,6,1,80,12.0,68.0,Credit Card
5,2025-04-19,2109,107,1,0,2,1,75,0.0,75.0,PayPal
6,2025-05-15,6893,101,1,0,1,2,125,0.0,250.0,Credit Card
7,2025-07-04,8188,108,1,0,1,1,65,0.0,65.0,LFC Points
8,2025-02-04,8623,105,4,0,2,2,60,0.0,120.0,Credit Card
9,2025-10-30,5787,107,4,2,6,2,75,22.5,127.5,PayPal
10,2025-12-08,5974,106,5,2,1,2,18,5.4,30.6,Debit Card
11,2025-04-23,6040,106,3,2,1,3,18,8.1,45.9,LFC Points
12,2025-09-09,424,107,1,0,6,1,75,0.0,75.0,Debit Card
13,2025-10-08,2906,110,1,2,1,2,25,7.5,42.5,Apple Pay
14,2025-03-15,8900,108,4,2,6,2,65,19.5,110.5,Credit Card
15,2025-07-11,3177,106,5,2,1,4,18,10.8,61.2,Apple Pay
16,2025-09-06,2567,107,5,2,1,2,75,22.5,127.5,PayPal
17,2025-05-17,6757,105,2,3,5,2,60,48.0,72.0,Credit Card
18,2025-08-21,2473,109,5,2,5,1,40,6.0,34.0,Credit Card
19,2025-10-09,5791,101,5,0,5,1,125,0.0,125.0,LFC Points
20,2025-09-03,5179,107,4,2,2,2,75,22.5,127.5,Credit Card
21,2025-12-13,5545,109,5,0,2,1,40,0.0,40.0,Apple Pay
22,2025-09-29,173,102,4,0,2,2,80,0.0,160.0,PayPal
23,2025-11-01,8059,105,1,2,2,2,60,18.0,102.0,Credit Card
24,2025-10-29,3476,108,5,2,5,2,65,19.5,110.5,PayPal
25,2025-04-10,6294,105,5,2,5,2,60,18.0,102.0,Debit Card
26,2025-04-23,3834,105,1,2,4,2,60,18.0,102.0,Apple Pay
27,2025-10-21,6692,104,4,0,2,2,65,0.0,130.0,LFC Points
28,2025-03-17,2560,107,4,2,5,1,75,11.25,63.75,LFC Points
29,2025-02-28,1217,106,2,0,2,2,18,0.0,36.0,PayPal
30,2025-05-29,3388,109,1,2,1,4,40,24.0,136.0,Debit Card
31,2025-05-28,5132,101,4,2,5,1,125,18.75,106.25,Credit Card
32,2025-11-04,4748,101,4,2,2,1,125,18.75,106.25,Apple Pay
33,2025-08-31,2140,107,4,0,6,2,75,0.0,150.0,LFC Points
34,2025-08-07,2685,110,5,0,2,3,25,0.0,75.0,LFC Points
35,2025-09-07,7388,104,1,2,3,2,65,19.5,110.5,PayPal
36,2025-01-09,9374,109,1,2,1,3,40,18.0,102.0,LFC Points
37,2025-02-28,9937,109,4,0,1,3,40,0.0,120.0,PayPal
38,2025-04-29,6372,107,3,2,2,2,75,22.5,127.5,LFC Points
39,2025-09-27,5736,109,4,2,2,3,40,18.0,102.0,LFC Points
40,2025-11-01,5675,106,2,2,5,2,18,5.4,30.6,Credit Card
41,2025-11-20,8770,105,4,2,6,2,60,18.0,102.0,LFC Points
42,2025-07-19,1058,107,2,2,3,2,75,22.5,127.5,Debit Card
43,2025-06-23,7847,105,2,2,5,2,60,18.0,102.0,Apple Pay
44,2025-05-02,7186,103,2,0,4,2,80,0.0,160.0,LFC Points
45,2025-08-22,7281,106,4,2,6,1,18,2.7,15.3,LFC Points
46,2025-02-11,8984,110,5,2,1,4,25,15.0,85.0,Apple Pay
47,2025-07-11,8074,110,4,2,1,2,25,7.5,42.5,Debit Card
48,2025-04-06,9743,101,4,2,1,1,125,18.75,106.25,Credit Card
49,2025-06-15,9654,101,2,2,1,2,125,37.5,212.5,Credit Card
50,2025-08-13,3771,107,3,0,5,2,75,0.0,150.0,LFC Points
51,2025-07-06,4660,101,4,2,1,1,125,18.75,106.25,LFC Points
52,2025-04-25,4543,105,1,2,1,2,60,18.0,102.0,PayPal
53,2025-03-06,7690,102,5,2,1,1,80,12.0,68.0,LFC Points
54,2025-04-30,4047,101,5,2,2,2,125,37.5,212.5,Apple Pay
55,2025-05-02,3313,106,2,2,1,2,18,5.4,30.6,Apple Pay
56,2025-11-10,7739,106,1,2,3,1,18,2.7,15.3,LFC Points
57,2025-07-22,2563,109,5,0,6,1,40,0.0,40.0,LFC Points
58,2025-07-26,2,109,5,2,2,4,40,24.0,136.0,Apple Pay
59,2025-11-21,7712,109,2,2,1,2,40,12.0,68.0,PayPal
60,2025-04-08,7620,107,5,2,2,2,75,22.5,127.5,PayPal
61,2025-04-23,9520,109,1,2,1,4,40,24.0,136.0,PayPal
62,2025-07-30,447,110,1,2,4,4,25,15.0,85.0,LFC Points
63,2025-06-16,5489,101,2,2,6,1,125,18.75,106.25,Apple Pay
64,2025-05-23,5961,101,1,2,3,1,125,18.75,106.25,LFC Points
65,2025-07-24,2574,110,4,2,2,1,25,3.75,21.25,Credit Card
66,2025-01-09,7233,110,4,2,2,2,25,7.5,42.5,Debit Card
67,2025-07-27,5828,103,4,2,1,1,80,12.0,68.0,Apple Pay
68,2025-05-29,6322,104,5,3,6,1,65,26.0,39.0,Apple Pay
69,2025-08-06,8190,102,5,0,6,2,80,0.0,160.0,Apple Pay
70,2025-04-15,9570,109,4,2,1,4,40,24.0,136.0,Debit Card
71,2025-05-23,5173,109,5,3,5,4,40,64.0,96.0,Credit Card
72,2025-09-17,8206,105,2,0,6,2,60,0.0,120.0,Apple Pay
73,2025-04-13,9022,101,5,2,5,2,125,37.5,212.5,Apple Pay
74,2025-11-13,7819,103,5,2,2,1,80,12.0,68.0,LFC Points
75,2025-07-09,545,108,5,2,5,1,65,9.75,55.25,Apple Pay
76,2025-02-12,3112,101,4,2,5,2,125,37.5,212.5,PayPal
77,2025-04-04,1063,103,2,2,6,2,80,24.0,136.0,PayPal
78,2025-10-08,3971,109,3,2,1,1,40,6.0,34.0,Debit Card
79,2025-09-05,8532,106,2,2,1,2,18,5.4,30.6,Credit Card
80,2025-05-28,9397,103,5,2,2,1,80,12.0,68.0,PayPal
81,2025-02-22,7856,104,4,0,2,2,65,0.0,130.0,Debit Card
82,2025-10-17,580,109,2,2,5,2,40,12.0,68.0,Credit Card
83,2025-07-28,9164,105,5,2,6,1,60,9.0,51.0,PayPal
84,2025-09-22,2026,107,4,2,5,1,75,11.25,63.75,LFC Points
85,2025-07-22,6973,106,4,0,1,4,18,0.0,72.0,Credit Card
86,2025-07-24,7780,108,5,2,1,2,65,19.5,110.5,LFC Points
87,2025-07-02,7355,104,4,2,6,2,65,19.5,110.5,Apple Pay
88,2025-02-21,50,106,4,2,6,4,18,10.8,61.2,PayPal
